"","NewProjectTitle"
"8025","national endowment for democracy grant to fundacion para la libertad de prensa"
"8026","national endowment for democracy grant to fundacion para la libertad de prensa  colombia "
"8027","national endowment for democracy grant to fundacion para la libertad de prensa for freedom of information "
"8028","national endowment for democracy grant to fundacion paz y reconciliacion"
"8029","national endowment for democracy grant to instituto prensa y sociedad de colombia  ipys colombia "
"8030","national endowment for democracy grant to international republican institute"
"8031","national endowment for democracy grant to international republican institute  iri "
"8032","national endowment for democracy grant to league of displaced women"
"8033","national endowment for democracy grant to movimiento visionarios por colombia"
"8034","national endowment for democracy grant to national democratic institute for international affairs"
"8035","national endowment for democracy grant to national democratic institute for international affairs  ndi "
"8036","national endowment for democracy grant to ocasa corporation"
"8037","national endowment for democracy grant to red departamental de mujeres chocoanas"
"8038","national endowment for democracy grant to transparency corporation for colombia"
"8039","national endowment for democracy grant to universidad industrial de santander"
"8040","national endowment for democracy grant to universidad industrial de santander for accountability "
"8041","national endowment for democracy grant to university of the andes"
"8042","national environmental system support program"
"8043","national forestry programme"
"8044","national highways sector project  02 "
"8045","national network of organizations strengthening  national conference of afrocolombian organizations"
"8046","national ombudsman s office  strengthening rights of black communities in colombia"
"8047","national plan for freight transport  namas pilot study"
"8048","national reintegration colombia "
"8049","national roads sector project  03 "
"8050","national rural housing program"
"8051","national school of community justice"
"8052","national standards system and precision measurement"
"8053","national strategy for the prevention and elimination of the worst forms of child labour in colombia"
"8054","national territory and regional development policy course"
"8055","national territory and regional development policy course for green grow"
"8056","national territory and regional development policy for latin american co"
"8057","national verification process of the sentence t  025"
"8058","national<U+FFFD>democratic inst"
"8059","nationales forstprogramm"
"8060","nationales forstprogramm  alt  199325127 "
"8061","nationales programm der caritas kolumbien  lobbyarbeit f<U+FFFD>r den frieden"
"8062","nationales programm der caritas kolumbien lobbyarbeit f<U+FFFD>r den frieden"
"8063","nationally appropriate mitigation action in the oil and gas sector"
"8064","nationally appropriate mitigation action in the waste and landfill sector"
"8065","natural resource management program"
"8066","natural resources and biodiversity"
"8067","natural systems for the treatment of urbanizations and industrial areas  evaluation of the potencial of its use "
"8068","nature conservation areas and biodiversity"
"8069","natuurrampenvoorzorg aardbevin"
"8070","navegantes  internet use for children s non formal education in colombia "
"8071","naya biological corridor in the munchique pinche sector"
"8072","nbe bekak  ba "
"8073","nd"
"8074","negro urco rural community vulnerable families develop hygienic and healthy practices in domestic and community fields"
"8075","neotropical migratory bird conservation   the instituto de investigacion de recursos biologicos"
"8076","neotropical migratory bird conservation act"
"8077","net for the transfer of municipal successful experiences in local management and human development in colombia"
"8078","network action in the colombian pacific region to protect victims  rights in the context of the ongoing peace process  colombia"
"8079","network and training for teachers"
"8080","network for future global leaders  nfgl "
"8081","network for the horizontal transfer of successful municipal experiences in local management and human development"
"8082","network of docents  readers "
"8083","network of safe environments  opportunities for child prevention and protection "
"8084","network of teachers  higher education "
"8085","network of the rural population"
"8086","network teaching expenses  higher education "
"8087","networking of local initiatives for the protection of land rights for indigenous and afro colombian people  pacific region"
"8088","networking of local initiatives for the protection of land rights for indigenous and afrocolombian people  pacific region"
"8089","new employment opportunities for youth in the urab<U+FFFD> region   antioquia  neo   ur"
"8090","new icts and peacebuilding in colombia"
"8091","new peace territories"
"8092","new school system program"
"8093","new technologies for waste treatment and energy generation that helps accelerate colombia s transition to a low carbon economy"
"8094","new technologies training "
"8095","newton fund"
"8096","newton fund colombia programme delivery"
"8097","ngo co financing   support to ngos   internationa   csf dev assist  block   csfbg119 0804 helpage int"
"8098","ngo co financing   support to ngos   internationa   csf dev assist  project   csf216 0704 mercycorps"
"8099","ngo co financing   support to ngos   internationa   csf hrd1 ngos   cvl adjustments"
"8100","ngo co financing   support to ngos   irish   csf dev assist  project    cic  csf040 0701"
"8101","ngo cofinance  support for monitoring and accompaniment to prevent violations of human rights and support human rights organisations"
"8102","ngo cofinancing"
"8103","ngo cofinancing  autonomy for indigenous peoples"
"8104","ngo eu cofinance   indigenous rights of the ember<U+FFFD>"
"8105","ngo eu cofinance  support for the political integration of the indigenous people  embera chami"
"8106","ngo eu cofinance  support of the participation of civil society in the regional development processes"
"8107","ngo eu cofinancing   support for idps families    alto ariari region"
"8108","ngo support   develope the degree of self sufficiency in children s home"
"8109","ngo support   jobs for the 21st century"
"8110","ni<U+FFFD>as  ni<U+FFFD>os y adolescentes de cauca y putumayo construyendo la paz en colombia"
"8111","nibr land restitution colombia"
"8112","niet formele vorming van gemarginaliseerde adolescenten"
"8113","nima counterdrug support"
"8114","nio   colombia amortization"
"8115","nio   colombia interest received"
"8116","nio2007  colombia amortisation"
"8117","nir laboral relations"
"8118","nir labour market relatio"
"8119","nir lo tco"
"8120","nmh   prro 10366 0   lieferung von 699 mt reis"
"8121","nmh wfp   wep   prro 10366 0  lieferung von 470 mt reis  33 3 mt pflanzen<U+FFFD>l  97 mt zucker  203 mt bohnen und 14 mt salz"
"8122","noaa international program"
"8123","nominative grant of asylum"
"8124","nominative grant to unesco chair on world language heritage of the upv   ehu"
"8125","non affect<U+FFFD>   non sp<U+FFFD>cifi<U+FFFD>"
"8126","non affect<U+FFFD>   non sp<U+FFFD>cifi<U+FFFD>   autres produits   fournitures   projets"
"8127","non affect<U+FFFD>   non sp<U+FFFD>cifi<U+FFFD>   coop technique"
"8128","non affect<U+FFFD>   non sp<U+FFFD>cifi<U+FFFD>   secteur non sp<U+FFFD>cifi<U+FFFD>"
"8129","non affect<U+FFFD>   non sp<U+FFFD>cifi<U+FFFD>   sensibilisation au d<U+FFFD>veloppement"
"8130","non affect<U+FFFD>   non sp<U+FFFD>cifi<U+FFFD> sensibilisation au d<U+FFFD>veloppement"
"8131","non ib salaries"
"8132","non resident un agencies"
"8133","non sovereign guaranteed project"
"8134","non sp<U+FFFD>cifi<U+FFFD>"
"8135","nor resident un agencies"
"8136","norad support colombia"
"8137","norcross   support to icrc s mine action activities in colombia"
"8138","north south dialogue scholarship programme"
"8139","north south institute research project in colombia 2010"
"8140","norw  language courses for refugees"
"8141","norw language courses for refugees"
"8142","notforprofitorg and p0118 for demanding and securing constitutional rights cscf330"
"8143","notforprofitorg and p0118 for young people empowerment and peace promotion cscf347"
"8144","nothilfe und wiederherstellung der lebensgrundlagen von kriegsvertriebenen familien im marginalen st<U+FFFD>dtischen bereich durch eigenproduktion von nahrungsmitteln  soziale vernetzung in den aufnahmegebie"
"8145","nothilfeprogramm"
"8146","noticiero internacional de barrio"
"8147","nouvelles technologies de communication"
"8148","nouvelles technologies de l information"
"8149","npa"
"8150","npa  colombia  rural population s participation in the peace process"
"8151","npa mine action colombia  program establishment and pilot project"
"8152","nrc   border program   colombian refugees in neighbouring countries"
"8153","nrc   framework agreement 2011                     nrc   framework agreement 2011 2013"
"8154","nrc   integral assistance and access to justice for the displaced popula"
"8155","nrc  colombia"
"8156","nrc  rights protection  victims of sexual violence"
"8157","nrc agreement 2014 2017"
"8158","nrc agreement 2014 2017    isk review"
"8159","nrc agreement 2014 2017   nrc 2014 2016"
"8160","nrc education programme in colombia"
"8161","nrc frame 2009 2010"
"8162","nrc framework agreement 2012"
"8163","nrc framework agreement 2013  includ  acaps ii   acaps"
"8164","nrc framework agreement 2013  includ  acaps ii   nrc frameworkagreement 2013"
"8165","nrc idp s in northern frontier regions"
"8166","nrc implementing local idp and justice and peace policies"
"8167","nrc mfa gpa"
"8168","nrc prot and hum assitance crisis col ve"
"8169","nrw program for emerging and developing countries"
"8170","nrw programm for emerging and developing countries"
"8171","nsa   la programme > obj  1 nsa  in country + multi country "
"8172","nuestras manos en madrid"
"8173","nueva ciudadania"
"8174","nuevo arco iris  analysis of the ej<U+FFFD>rcito de liberaci<U+FFFD>n nacional"
"8175","nuevo arco iris  proyecto fronteras  colombia"
"8176","nuevo arcoiris  policy recommendations on state"
"8177","nuevo fondo holanda ecofondo"
"8178","nuevos hogares para ni<U+FFFD>os y j<U+FFFD>venes de la calle"
"8179","nursery school la palma"
"8180","nutrition science techn inst "
"8181","nutritional plan and comprehensive following up to displaced families "
"8182","nutritional recovery for children"
"8183","nz development scholarships  colombia"
"8184","oas   colombia   within the framework of the oas programme of integral action antipersonnel mines  aicma   the italian government financed the project focused  inter alia  on victim assistance"
"8185","oas electoral observ  mission"
"8186","oas electoral observation 2011"
"8187","oas mapp 2006 colombia"
"8188","oas mapp 2010 2011"
"8189","oas mapp 2011"
"8190","oas mapp colombia 07 08"
"8191","oas mapp colombia 09 10"
"8192","oas mapp secondment            secondment <U+FFFD>str<U+FFFD>m"
"8193","oas mapp secondment            secondment nordenmark"
"8194","oas mapp secondment            secondment nordgren"
"8195","oas mapp secondment 2011"
"8196","oas mapp secondment secondment <U+FFFD>str<U+FFFD>m"
"8197","oas mapp secondment secondment nordenmark"
"8198","oas mapp secondmentsecondment <U+FFFD>str<U+FFFD>m"
"8199","oas mapp secondmentsecondment nordenmark"
"8200","oas mapp secondmentsecondment nordgren"
"8201","oas mapp verific officer"
"8202","oas mapp verific officer       oas verification officer"
"8203","oas mediation capacity building project"
"8204","oas mission to colombia"
"8205","oas mission to support the peace process in colombia  mapp oea "
"8206","oas mission to support the peace process in colombia  oas mapp "
"8207","oas mission to support the peace process in colombia  oas mapp  phase v   mission d appui au processus de paix en colombie   mapp   oea   phase v"
"8208","oas observation elections"
"8209","oas presidential electoral obersvation missions to colombia"
"8210","oas report and recommendations on land restitution"
"8211","oas support to the peace process in colombia  mapp   phase iv "
"8212","oasis de paz y esperanza en medellin  colombia "
"8213","oasis training"
"8214","objetivo desarrollo milenio f1"
"8215","objetivos desarrollo milenio"
"8216","observation of ethnic territories with emphasis on territories of african descended displaced communities"
"8217","observatorio de los derechos humanos de las mujeres en colombia"
"8218","observatorio de los derechos humanos de las mujeres en colombia  en situaciones de conflicto armado  las mujeres tambi<U+FFFD>n tienen derechos "
"8219","observatorio de los derechos humanos de las mujeres en colombia  en situaciones de conflicto armado  las mujeres también tienen derechos "
"8220","observatorio de medios de comunicaci<U+FFFD>n para la visibilizaci<U+FFFD>n y trato correcto de las violencias de g<U+FFFD>nero en colombia"
"8221","observatorio ind<U+FFFD>gena de pol<U+FFFD>ticas p<U+FFFD>blicas de desarrolloy derechos <U+FFFD>tnicos"
"8222","observatorio indígena de políticas públicas de desarrolloy derechos étnicos"
"8223","observatorio nacional de paz"
"8224","observatorio para la sostenibilidad y la calidad de vida en colombia"
"8225","observatorio permanente sobre discriminaci<U+FFFD>n racial y derechos de la poblaci<U+FFFD>n afrocolombiana"
"8226","observatorios de derechos humanos y derecho internacional humanitario"
"8227","observatory for rights and survival of indigenous peoples of colombia "
"8228","observatory for the rights and the survival of the indigenous people of colombia"
"8229","observatory of disarmament demobilization and     reintegration   phase out   observatory of disarmament demobilization and"
"8230","observatory of disarmament demobilization and reintegration   phase out   observatory of disarmament demobilization and"
"8231","observatory of ethnic territories in social cultural change context and land disputes  phase 3 3  "
"8232","observatory of the media for the visibility and correct treatment of gender based violence in colombia"
"8233","observatory of urban cultures"
"8234","observatory of urban mobility  a comparison of spain and colombia"
"8235","observers to un  mvm colombia"
"8236","ocations de volontariat"
"8237","occupational health and safety in the mining sector in colombia"
"8238","ocean freight of usaid title ii emergency program for humanitarian assistance  assistance and recovery"
"8239","ocean freight of usaid title ii emergency program for protection  assistance and solutions"
"8240","ocean freight of usaid title ii food aid for jacinto prepositioning of food aid"
"8241","ocean freight of usaid title ii food aid for other emergency"
"8242","ocean observation and hydrographic survey"
"8243","ocean observation and hydrographic surveying"
"8244","ocha   earthquake assistance   colombia"
"8245","ocha  emergency response fund 2010"
"8246","ocha  emergency response fund 2012"
"8247","ocha  inter cluster and field coordination in meta"
"8248","ocha 2014   2015  incl  procap  gencap och undac    humanitarian coordination   country and regional"
"8249","ocha 2014   2017  incl  procap  gencap och undac    humanitarian coordination   country and regional"
"8250","ocha col idps coord"
"8251","ocha colombia"
"8252","ocha colombia 2005 2006"
"8253","ocha coordin  colombia 02"
"8254","ocha coordination colombia"
"8255","ocha field coordination 2012"
"8256","ocha field coordination 2013"
"8257","ocha humanitarian aid programme contributions"
"8258","ocha programmbeitr<U+FFFD>ge hh"
"8259","ocha renforcement coordination"
"8260","ocha strenghthen coordination"
"8261","ochas country office in colombia"
"8262","ocular health trainers and investigators network"
"8263","oda anrechenbare leistungen f<U+FFFD>r anerkannte asylbewerber in deutschland"
"8264","oda anrechenbare leistungen fuer anerkannte asylbewerber in deutschland"
"8265","oda loan"
"8266","odm para cundinamarca"
"8267","odm s en el nivel local"
"8268","oe trusfunds cor"
"8269","oecd and promoting competitiveness"
"8270","oee 01  programme effectiveness"
"8271","ofda 2014 unisdr   capacity building  preparedness and planning"
"8272","ofda crit needs met of targeted vulnerable grps in emrgncies"
"8273","ofda disaster response"
"8274","office building for women s group"
"8275","office in colombia of the unhchr  facilitating social dialogue in nari<U+FFFD>o and magdalena medio  southern bolivar and southern cesar  regions  colombia"
"8276","office of foreign disaster assistance crit needs met of targeted vulnerable grps in emrgncies"
"8277","office of international affairs"
"8278","office of international affairs   consumer protection"
"8279","office of international affairs   maintain competition"
"8280","office of international affairs   protect consumers"
"8281","office of the high commissioner for human rights in colombia"
"8282","office of the high commissioner in colombia"
"8283","office of the high commissioner in colombia "
"8284","office rental fees  gi"
"8285","official announcement for support to collaborate in the outcome of a study carried out by the brotherhood of lerida  colombia   lleida"
"8286","official master in environmental law"
"8287","official master in geology and environmental management of mining resources"
"8288","official master in research of teaching and learning of experimental  social and mathematic sciences"
"8289","official master in systems technology of photovoltaic solar energy"
"8290","offre de service d enseignement et formation int grale dans le sous secteur skills development"
"8291","offre de service d enseignement et formation int<U+FFFD>grale dans le sous secteur skills development"
"8292","ohchr  associate expert in bogota"
"8293","ohchr 2002"
"8294","ohchr colombia"
"8295","ohchr colombia 05 07"
"8296","ohchr colombia 07              ohchr colombia 07 08"
"8297","ohchr colombia 2008 09"
"8298","ohchr colombia 2010 2011"
"8299","ohchr colombia additional funds 2013"
"8300","ohchr human rights colombia"
"8301","ohchr human rights colombia   ns 2016 2020 ohchr human rights"
"8302","ohchr human rights colombia   ohchr human rights"
"8303","ohchr in col"
"8304","ohchrs activites in col"
"8305","ohchrs office in colombia"
"8306","oia development of the politics of gender family and community well being to the strengthen of indigenous women from antioquia  colombia "
"8307","oil and gas exploration   equity"
"8308","oilfield services   equity"
"8309","oim jovenes desmobilizados"
"8310","oim monitoring eval of impact of rrs"
"8311","ok bekaempfungsbehoerden"
"8312","olefins and polyethylenes petrochemical complex   desk study"
"8313","olofpalme int centrum framework agreementsouth2011 opc south 2011"
"8314","olpc    one laptop per child  pilots implementation analysis"
"8315","ombudsmann defensoria del pueblo "
"8316","ondersteuning comision de conc"
"8317","ondersteuning commissie voor n"
"8318","ondersteuning facultad de dere"
"8319","ondersteuning mensenrechtenorg"
"8320","ondersteuning mensenrechtenpro"
"8321","ondersteuning red nacional de"
"8322","ondersteuning van red naciona"
"8323","ondersteuning vredesweek via r"
"8324","ong actec 2014 2016  colombia sd2"
"8325","ong broederlijk delen   programme 2014 2016 changement social pour un d<U+FFFD>veloppement durable"
"8326","ong broederlijk delen   programme 2014 2016 changement social pour un d<U+FFFD>veloppement durable "
"8327","ong fcd   programme 2008 2010   frais de structure"
"8328","ong fcd solsoc   pgm 2008 2010  os  s3"
"8329","ong pvd 2002  020 920 co sistema de produccion agroforestal para mejorar el ingr"
"8330","ong pvd 2003 063 561 consolidation du programme des enfants des mines de charbon"
"8331","ong pvd 2006 132 186 los as campesinos as  especialmente las mujeres  se fortale"
"8332","online system information requirements for non tariff for smes"
"8333","op<U+FFFD>ration de d<U+FFFD>minage"
"8334","opc frame syd 2010"
"8335","opc south 2011"
"8336","open business models  latin america    phase ii"
"8337","open business models  new compensation mechanisms for creativity and inclusion"
"8338","open data for public policy in latin america and the caribbean"
"8339","open empowerment  digital natives  democracy  and security in latin america"
"8340","open empowerment  digital natives  democracy and security in latin america"
"8341","opening horizons <U+FFFD> alternatives for a dignified life for marginalized young people in colombia  human rights project "
"8342","operating costs to support multiple focus areas of the mtsp"
"8343","operating costs to support multiple ots within fa5"
"8344","operating expenses"
"8345","operating expenses  gi"
"8346","operation demining"
"8347","operation stone colombia peru   op<U+FFFD>ration stone colombie p<U+FFFD>rou"
"8348","operational budget"
"8349","operational budget of the human security adviser to columbia"
"8350","operational budget swiss human security adviser in colombia"
"8351","operational costs"
"8352","operational costs for programme work of goethe institute"
"8353","operations"
"8354","operations   financial and administration"
"8355","opiac   colombia"
"8356","oportunidades para la paz  escenarios alternativos para la prevenci<U+FFFD>n de la participaci<U+FFFD>n de ni<U+FFFD>os  ni<U+FFFD>as y adolescentes en la guerra"
"8357","opportunity international colombia finance co  start up"
"8358","optimisation of non conventional water usage for the irrigation of metropolitan green areas of contrasted climate "
"8359","optimizacion min salud y traba"
"8360","optimization and implementation of green waste compost applications in sustainable agriculture in the high tropics"
"8361","optimization of agricultural production  water management and distribution in the rural field   santander"
"8362","optimization of techniques for the development of double emulsions stabilized with natural and synthetic polymers  potential application and functionality"
"8363","ordenaci<U+FFFD>n forestal y gesti<U+FFFD>n a trav<U+FFFD>s del manejo y aprovechamiento sostenible de los recursos maderables y no maderables del bosque bajo modelos de fortalecimiento organizacional como estrategia de desarrollo"
"8364","ordenamiento y protecci<U+FFFD>n ambiental para el desarrollo comunitario en la selva de mataven vichada"
"8365","order of international aid organizations  university of the basque country"
"8366","oret 94 45   stabilized tidal"
"8367","oret 97 36   cartagena tidal i"
"8368","organbisation of activities providing to supplementary lessons and amusements after school times for children of santafe de bogota"
"8369","organisation administrative et fonction publique"
"8370","organisation of a seminar for experts of daicma <U+FFFD> directorate for comprehensive action against antipersonnel mines of colombia"
"8371","organisational and legal aid for landrights of indigenous peoples and refugees  norte santander"
"8372","organisational development of youth initiatives in peace districts of cali"
"8373","organisational support for enhancing human rights and effective protection of ethnic minorities rights"
"8374","organisationsf<U+FFFD>rderung f<U+FFFD>r jugendliche aus friedensgemeinden von cali"
"8375","organizaci<U+FFFD>n campesina para la comercializaci<U+FFFD>n colectiva del boroj<U+FFFD>"
"8376","organizaci<U+FFFD>n campesina para la producci<U+FFFD>n de la qu<U+FFFD>nua y la comercializaci<U+FFFD>n colectiva"
"8377","organizaci<U+FFFD>n de productores de <U+FFFD>ame de san juan nepomuceno y construcci<U+FFFD>n de una planta de elaboraci<U+FFFD>n de harinas de tub<U+FFFD>rculo"
"8378","organizaci<U+FFFD>n nal ind<U+FFFD>gena de c   gender equality   rr"
"8379","organizacion institucional min"
"8380","organizaciones empresariales con capacidades y competencias fortalecidas en gerencia organizacional  habilidades de negociaci<U+FFFD>n  comunicaci<U+FFFD>n y dise<U+FFFD>o de servicios"
"8381","organizaciones empresariales con capacidades y competencias fortalecidas en gerencia organizacional  habilidades de negociaci<U+FFFD>n  comunicaci<U+FFFD>n y dise<U+FFFD>o de servicios y planificaci<U+FFFD>n estrat<U+FFFD>gica"
"8382","organizaciones productivas de mujeres desplazadas en villagarz<U+FFFD>n"
"8383","organizaciones productivas de mujeres desplazadas en villagarz<U+FFFD>n  putumayo "
"8384","organization and cultural strenghtening of the indigenous women in jurado"
"8385","organization of activities profiding to supplementary lessons and amusement after school times for children of santaf<U+FFFD> de bogot<U+FFFD>"
"8386","organization of american states mission to support the peace process in colombia  implementation of joint strategy for targeted territorial reparation"
"8387","organization strengthening of the rural population of arauca for the defense of the human rights"
"8388","organizational and legal aid for land rights of indigenous peoples and refugees  norte santander"
"8389","organizational strengthening and training in popular media for the defence  protection and promotion of the dd project hh  in north of the santan"
"8390","organizational strengthening for the prevention and attention to human rights violations"
"8391","organizational support for enhancing human rights and effective protection of ethnic minorities rights"
"8392","organizations of human rights  women and indigenous people building peace in colombia "
"8393","organizative and sociostructural reinforcement of indigenous communities of chigorodo and mutata at uraba antioque<U+FFFD>o subregion  colombia"
"8394","organizing civic participation in order to faster conflict resolution in magdalena media region of colombia"
"8395","organizing self reliance to influence habitat development and advocacy against forced eviction of people living in marginalized areas of medell<U+FFFD>n area"
"8396","organizing young employees and training them as union leaders"
"8397","os prov limburg"
"8398","os prov west vlaanderen"
"8399","osa   observatory electoral mission in colombia "
"8400","osa emergency humanitarian deming"
"8401","osa landmine survivor assistance"
"8402","osprey mortality quantification project"
"8403","oss10 cr<U+FFFD>ation d<U+FFFD>un centre de formation et d<U+FFFD>assistance technique pour les micro entrepreneurs"
"8404","oss1soutien partnaires de r<U+FFFD>f<U+FFFD>rence dans pays b<U+FFFD>n<U+FFFD>ficiares afin peser plus lourdement sur politique cd de be  ue  intern"
"8405","oss2  int<U+FFFD>r<U+FFFD>ts groupes faibles au sud sont pris en consid<U+FFFD>ration lors des n<U+FFFD>gociations internaten mati<U+FFFD>re de commerce"
"8406","oss4 scsud s organis plus de pression sur autorit<U+FFFD>s pour exploitation richesses naturelles contribution au d<U+FFFD>veloppement"
"8407","oss7 appuyer et d<U+FFFD>fendre les droits de l homme des groupes vuln<U+FFFD>rables t dans les andes "
"8408","oss8 construction et <U+FFFD>quipement d<U+FFFD>un centre de formation technique et de service communautaire"
"8409","oss8 via 4 bureaux r<U+FFFD>gionaux sud  alimenter le travail politique et campagnes <U+FFFD> partir du sud am<U+FFFD>liorer l harmonisation"
"8410","oss9 construction d<U+FFFD>une <U+FFFD>cole familiale rurale et extension de la m<U+FFFD>thode de l<U+FFFD>alternance"
"8411","other activities in support of agency goals"
"8412","other benefits  zfa"
"8413","other contributions to icrc"
"8414","other contributions to ocha"
"8415","other contributions to pan american health organization"
"8416","other contributions to the ilo"
"8417","other contributions to the oas  organization of american states"
"8418","other contributions to the oea   organization of american states"
"8419","other contributions to the united nations development fund for women"
"8420","other contributions to unep"
"8421","other contributions to unicef"
"8422","other contributions to unodc"
"8423","other development activities"
"8424","other non banking financial institution  nbfi    loan"
"8425","other non banking financial institution  nbfi   loan"
"8426","other public health threats"
"8427","other scholarships"
"8428","other supportive measures  bva"
"8429","other supportive measures  central agency for schools abroad"
"8430","other supportive measures  zfa"
"8431","our brown sugar life  widening of the network of ecologic sugar cane producers "
"8432","output 01  srh services"
"8433","output 02  family planning"
"8434","output 03  maternal health"
"8435","output 04  hiv"
"8436","output 05  srh in emergencies"
"8437","output 06  adolescents and youth"
"8438","output 07  sexuality education"
"8439","output 09  protection systems"
"8440","output 10  gbv and harmful practices"
"8441","output 11  engagement of csos"
"8442","output 12  data on population and development"
"8443","output 13  analysis on population dynamics"
"8444","output 14  rights based policies"
"8445","output 15  data for m e of policies"
"8446","overcoming violence through local institutions  a comparative study of households and communities in colombia"
"8447","overseas program support"
"8448","own call   schedule training project for the develop  gender equity  for councilors  councilors and colombians and peruvians leaders"
"8449","own call   schedule training project for the develop  gender equity  for councilors  councilors and leaders colomb   and peruvians "
"8450","own call  permanent workshop  for the right to the city  participation  reflection and action "
"8451","own call  project  call for aid for international volunteerism in development cooperation projects  course 2014 15"
"8452","own call  project  creation  development and implementation of a interuniversity e interagency network international studies"
"8453","own call  schedule training project for the develop  gender equity  for councilors  councilors and colombians and peruvians leaders"
"8454","own call  students  internship on cooperation"
"8455","own call  support to accions and projects  training project preparation  human rights and agricultural policies"
"8456","own call for latin america  assistance for developing industrial safety in coal mining in antioquica department  colombia"
"8457","own call for proposal  implementing a model of icts integrated curriculum in colombia "
"8458","own call for proposal  project  aid for university cooperation projects  project  community gardens in colombia  "
"8459","own call for proposal  project  aid for university cooperation projects  project  teaching guidelines in colombia "
"8460","own call for proposals   26th call for proposals for actions for development cooperation "
"8461","own call for proposals  assistance to undertake activities in latin america "
"8462","own call for proposals  project  building scientific capacities in ecophysiology of plants and implementation of research processes "
"8463","own call for proposals  project  design of interactive experiences addressed to achieve the welfare of people with special needs "
"8464","own call for proposals  project  improving urban security from a gender perspective"
"8465","own call for proposals  project promoting the design of interactive systems to address therapy for children with special needs "
"8466","own call for proposals  project towards sustainable development in colombia  environmental monitoring as a comprehensive management resources"
"8467","own call for proposals  scholarships for developing countries  implementing a model of icts integrated curriculum in colombia "
"8468","own call latin america  environmental impact assessment of coffee production systems"
"8469","own call of interest  cooperation practices for students"
"8470","own call of interest  design and a attention to gender opportunities in higher education  peru  bolivia  colombia and paraguay"
"8471","own call of interest  project "
"8472","own call of interest  project  aids to participate in cooperation projects "
"8473","own call of interest  project  child promotion and participation from a cultural community centre   cartagena de indias"
"8474","own call of interest  project  entrepreneurship office for students of the universidad tecnologica  utp   that receive remittances"
"8475","own call of interest  project  socioenvironmental restoration  of morro moravia  use of buffer strips  depolluting fixing degradeted urban soil "
"8476","own call of interest  project  strengthening and creation of the young network of community broadcasters"
"8477","own call of interest  project  strengthening of social and cultural sceneries for young people in a risk situation due to the armed conflict"
"8478","own call of interest  project  strengthening of the disability municipal public policy  through the rbc strategy"
"8479","own call of interest  project  towards a strengthening and reinforcement of the community management of water in bogota"
"8480","own call of interest  research  rural teacher in colombia and guatemala  xx xxi century  life stories and educational intervention of university"
"8481","own call xiv  moringa project  introduction of moringa oleifera in valle san juan  tolima  and creation of agricultural cooperative "
"8482","own program  aid for stays of postgraduate students and researchers of the american and african continent "
"8483","own program  aid for the stay of post graduate students and resesearchers on the american and african continent "
"8484","own program  call for aid vii andres manuel sanchez"
"8485","own program  co development grants  graduate student from colombia"
"8486","own program  dc students grants  grants  arcadi gotor 2011 2012   "
"8487","own program  dc students grants  grants  women and development2011 2012"
"8488","own program  degree final project  road infrastructure  improving connectivity firm in cartagena neighborhoods and businesses"
"8489","own program  degree final project techniques of mapping for analysis of population displacement in rural and urban structures "
"8490","own program  expert practices  colombia "
"8491","own program  final degree scholarship project  development cooperation program"
"8492","own program  final year project  design of low cost conglomerant materials with puzolanic agro industrial wastes "
"8493","own program  final year traineeship  service to the community in the realization of the hiv aids diagnostic test  colombia "
"8494","own program  grant for students dc  aid to prepare the doctoral thesis "
"8495","own program  grant for students of dc "
"8496","own program  master s degree final project  recycling and living  study of labour risks in informal recycling companies of cartagena de indias"
"8497","own program  mobility program  mobility through international agreements with universities and centres  colombia "
"8498","own program  practical scholarship degree to psychology students doing their academic practices in colombia"
"8499","own program  project  continuous training of health community managers for a participative evaluation and an impact as a health intercultural agent "
"8500","own program  project  emerging technologies based on sun light to relieve the problems of water treatment in developing countries "
"8501","own program  scholarship  grade to psychology students doing their academic practices in colombia"
"8502","own program  scholarship  psychology grade student performing their academic internship in brazil"
"8503","own program  scholarships for pvd student   vice president for students"
"8504","own program  scholarships for pvd students  2014 2015 women and development grants"
"8505","own program  scholarships for pvd students  scholarships luisa cardona 2014 2015"
"8506","own program  scholarships to grade student of psychology performing their academic practices in colombia"
"8507","own program  support for pfc tft thesis in the field of international cooperation for development  2014"
"8508","own program  supporting the international voluntary work regarding development cooperation  b modality  call of interest 2012 "
"8509","own program  traineeship  designing and building the  almazen  in the cundinamarca region  colombia "
"8510","own program  training and practice university in development cooperation projects  second edition "
"8511","own program  travel bags for mobilities linked to cooperation agreements in the extra extracommunitarian field"
"8512","own program  travel grant for mobility linked to cooperation agreements regarding the extra community areas "
"8513","own program  volunteering  environmental project in colombia"
"8514","own program help for cooperation travel on teachers and pas  moringa participation project"
"8515","own program of aid for pvd students  uz banco santander grants for doctoral studies aimed at latin american students "
"8516","own programme  2011 student s programme"
"8517","own programme  2012 student s programme"
"8518","own programme  co development scholarships"
"8519","own programme  colombian women and vih aids  evaluation and psycho social prevention of risk"
"8520","own programme  cooperation travel scholarships 2013  master s project  supporting the programme to manage and recycle electrical devices in bogota"
"8521","own programme  cooperation travel scholarships 2013  master s project  urban planning and social capital  improvement cases"
"8522","own programme  international volunteering of public universities of madrid "
"8523","own programme  internship  degree finalisation  for medicine students having a work placement in colombia "
"8524","own programme  meridies scholarship  promoting startups in ethnic communities in cartagena de indias   colombia "
